$ spack find --format "{name},{version},{compiler},{variants},{arch}"
adiak,0.2.1,gcc@9.3.0,~ipo+mpi+shared build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
adios,1.13.1,gcc@9.3.0,+blosc~bzip2~fortran~hdf5~infiniband+lz4+mpi~netcdf+shared+sz~szip+zfp+zlib patches=01113e9efb929d71c28bf33cc8b7f215d85195ec700e99cb41164e2f8f830640,8ae17f655248e87cbab1d1ed794e15364a38d2f5f8d971b1086702f72d79bd42,d24b79b795f66e40ddcd331ea4be896ac9c393d6f68f4318616d23928b0694e9 staging=none,linux-opensuse_leap15-x86_64
adios2,2.7.1,gcc@9.3.0,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,linux-opensuse_leap15-x86_64
adlbx,1.0.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
aml,0.1.0,gcc@9.3.0,,linux-opensuse_leap15-x86_64
amrex,21.05,gcc@9.3.0,~amrdata~cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~rocm~shared~sundials amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none dimensions=3 precision=double,linux-opensuse_leap15-x86_64
amrex,21.05,gcc@9.3.0,~amrdata+cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~rocm~shared~sundials amdgpu_target=none build_type=RelWithDebInfo cuda_arch=70 dimensions=3 precision=double,linux-opensuse_leap15-x86_64
ant,1.10.7,gcc@9.3.0,,linux-opensuse_leap15-x86_64
arborx,1.0,gcc@9.3.0,~cuda~ipo+mpi~openmp~rocm+serial~trilinos build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
argobots,1.1,gcc@9.3.0,~affinity~debug+perf~stackunwind~tool~valgrind stackguard=none,linux-opensuse_leap15-x86_64
ascent,0.7.1,gcc@9.3.0,~adios~babelflow~cuda~doc~dray+fortran~mfem+mpi+openmp~python+serial+shared+test+vtkh cuda_arch=none,linux-opensuse_leap15-x86_64
autoconf,2.69,gcc@9.3.0,,linux-opensuse_leap15-x86_64
autoconf-archive,2019.01.06,gcc@9.3.0,,linux-opensuse_leap15-x86_64
automake,1.16.3,gcc@9.3.0,,linux-opensuse_leap15-x86_64
axl,0.4.0,gcc@9.3.0,~bbapi_fallback~ipo async_api=daemon build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
axom,0.5.0,gcc@9.3.0,+cpp14~cuda~debug~devtools+fortran+hdf5~ipo+lua~mfem+mpi+openmp~python+raja~scr+shared+umpire build_type=RelWithDebInfo cuda_arch=none,linux-opensuse_leap15-x86_64
axom,0.5.0,gcc@9.3.0,+cpp14+cuda~debug~devtools+fortran+hdf5~ipo+lua~mfem+mpi+openmp~python+raja~scr+shared+umpire build_type=RelWithDebInfo cuda_arch=70,linux-opensuse_leap15-x86_64
bdftopcf,1.0.5,gcc@9.3.0,,linux-opensuse_leap15-x86_64
berkeley-db,18.1.40,gcc@9.3.0,+cxx~docs+stl patches=b231fcc4d5cff05e5c3a4814f6a5af0e9a966428dc2176540d2c05aff41de522,linux-opensuse_leap15-x86_64
binutils,2.33.1,gcc@9.3.0,~gas+gold+headers~interwork+ld+libiberty~lto~nls+plugins libs=shared,static,linux-opensuse_leap15-x86_64
bison,3.7.6,gcc@9.3.0,,linux-opensuse_leap15-x86_64
blt,0.3.6,gcc@9.3.0,,linux-opensuse_leap15-x86_64
bmi,main,gcc@9.3.0,,linux-opensuse_leap15-x86_64
bolt,2.0,gcc@9.3.0,~ipo build_type=RelWithDebInfo,linux-opensuse_leap15-x86_64
