$ spack find --format "{name},{version},{compiler},{variants},{arch}"
adios2,2.6.0,intel@19.1.2.254,,cray-cnl7-haswell
aml,0.1.0,intel@19.1.2.254,,cray-cnl7-haswell
arborx,0.9-beta,intel@19.1.2.254,+openmp,cray-cnl7-haswell
bolt,1.0,intel@19.1.2.254,,cray-cnl7-haswell
caliper,2.4.0,intel@19.1.2.254,,cray-cnl7-haswell
darshan-runtime,3.2.1,intel@19.1.2.254,+slurm,cray-cnl7-haswell
darshan-util,3.2.1,intel@19.1.2.254,+bzip2,cray-cnl7-haswell
flit,2.1.0,intel@19.1.2.254,,cray-cnl7-haswell
gasnet,2020.3.0,intel@19.1.2.254,+udp,cray-cnl7-haswell
ginkgo,1.2.0,intel@19.1.2.254,,cray-cnl7-haswell
globalarrays,5.7,intel@19.1.2.254,+blas+lapack+scalapack,cray-cnl7-haswell
gotcha,1.0.3,intel@19.1.2.254,+test,cray-cnl7-haswell
hdf5,1.10.6,intel@19.1.2.254,+cxx+debug+fortran+hl+szip+threadsafe,cray-cnl7-haswell
hypre,2.20.0,intel@19.1.2.254,+mixedint,cray-cnl7-haswell
kokkos,3.2.00,intel@19.1.2.254,+compiler_warnings+debug+debug_dualview_modify_check+examples+hwloc+memkind+numactl+openmp+pic+tests,cray-cnl7-haswell
kokkos-kernels,3.2.00,intel@19.1.2.254,+mkl+openmp,cray-cnl7-haswell
libnrm,0.1.0,intel@19.1.2.254,,cray-cnl7-haswell
libquo,1.3.1,intel@19.1.2.254,,cray-cnl7-haswell
mercury,1.0.1,intel@19.1.2.254,+udreg,cray-cnl7-haswell
mfem,4.1.0,intel@19.1.2.254,+examples+gnutls+gslib+lapack+libunwind+openmp+pumi+threadsafe+umpire,cray-cnl7-haswell
ninja,1.10.1,intel@19.1.2.254,,cray-cnl7-haswell
openpmd-api,0.12.0,intel@19.1.2.254,,cray-cnl7-haswell
papi,6.0.0.1,intel@19.1.2.254,+example+static_tools,cray-cnl7-haswell
parallel-netcdf,1.12.1,intel@19.1.2.254,,cray-cnl7-haswell
pdt,3.25.1,intel@19.1.2.254,+pic,cray-cnl7-haswell
petsc,3.14.0,intel@19.1.2.254,,cray-cnl7-haswell
pumi,2.2.2,intel@19.1.2.254,+fortran,cray-cnl7-haswell
py-libensemble,0.7.0,intel@19.1.2.254,+mpi+nlopt+scipy,cray-cnl7-haswell
py-petsc4py,3.13.0,intel@19.1.2.254,,cray-cnl7-haswell
qthreads,1.14,intel@19.1.2.254,~hwloc,cray-cnl7-haswell
raja,0.12.1,intel@19.1.2.254,,cray-cnl7-haswell
slepc,3.14.0,intel@19.1.2.254,,cray-cnl7-haswell
stc,0.8.3,intel@19.1.2.254,,cray-cnl7-haswell
sundials,5.4.0,intel@19.1.2.254,+examples-cxx+examples-f2003~examples-f77+f2003+hypre+klu+lapack+openmp,cray-cnl7-haswell
superlu,5.2.1,intel@19.1.2.254,,cray-cnl7-haswell
superlu-dist,6.3.1,intel@19.1.2.254,,cray-cnl7-haswell
swig,4.0.2,intel@19.1.2.254,,cray-cnl7-haswell
sz,2.1.10,intel@19.1.2.254,+fortran+hdf5+netcdf+pastri+python+random_access+time_compression,cray-cnl7-haswell
tasmanian,7.3,intel@19.1.2.254,+blas+fortran+mpi+python+xsdkflags,cray-cnl7-haswell
turbine,1.2.3,intel@19.1.2.254,+hdf5+python,cray-cnl7-haswell
umap,2.1.0,intel@19.1.2.254,+tests,cray-cnl7-haswell
umpire,4.0.1,intel@19.1.2.254,+fortran+numa+openmp,cray-cnl7-haswell
upcxx,2020.3.0,intel@19.1.2.254,,cray-cnl7-haswell
veloc,1.4,intel@19.1.2.254,,cray-cnl7-haswell
zfp,0.5.5,intel@19.1.2.254,,cray-cnl7-haswell

adiak,0.1.1,intel@19.1.2.254,~ipo+mpi+shared build_type=RelWithDebInfo,cray-cnl7-haswell
adios2,2.6.0,intel@19.1.2.254,+blosc+bzip2+dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,cray-cnl7-haswell
adlbx,0.9.2,intel@19.1.2.254,,cray-cnl7-haswell
aml,0.1.0,intel@19.1.2.254,,cray-cnl7-haswell
ant,1.10.7,intel@19.1.2.254,,cray-cnl7-haswell
arborx,0.9-beta,intel@19.1.2.254,~cuda~hip~ipo+mpi+openmp+serial~trilinos build_type=RelWithDebInfo,cray-cnl7-haswell
argobots,1.0,intel@19.1.2.254,~debug~valgrind,cray-cnl7-haswell
arpack-ng,3.7.0,intel@19.1.2.254,+mpi+shared,cray-cnl7-haswell
autoconf,2.69,intel@19.1.2.254,,cray-cnl7-haswell
automake,1.16.2,intel@19.1.2.254,,cray-cnl7-haswell
axl,0.3.0,intel@19.1.2.254,~ipo async_api=daemon build_type=RelWithDebInfo,cray-cnl7-haswell
bolt,1.0,intel@19.1.2.254,~ipo build_type=RelWithDebInfo,cray-cnl7-haswell
boost,1.74.0,intel@19.1.2.254,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=98 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-cnl7-haswell
bzip2,1.0.8,intel@19.1.2.254,+shared,cray-cnl7-haswell
c-blosc,1.17.0,intel@19.1.2.254,+avx2~ipo build_type=RelWithDebInfo patches=1c89086966f670ab1345a6e14b0f8550076f2e384ea9d09c454718e4557752fa,cd40604a26157a0e018ea496cf3267e116e6ec5ff80a7d1cef11b841c154c388,cray-cnl7-haswell
caliper,2.4.0,intel@19.1.2.254,+adiak+callpath~dyninst+gotcha~ipo+libpfm+mpi+papi+sampler+shared~sosflow build_type=RelWithDebInfo,cray-cnl7-haswell
cmake,3.16.5,intel@19.1.2.254,~doc+ncurses+openssl+ownlibs~qt patches=1c540040c7e203dd8e27aa20345ecb07fe06570d56410a24a266ae570b1c4c39,cray-cnl7-haswell
darshan-runtime,3.2.1,intel@19.1.2.254,~cobalt+mpi~pbs+slurm,cray-cnl7-haswell
darshan-util,3.2.1,intel@19.1.2.254,+bzip2 patches=d1a0e581fb72830089302c94f77ccfcbaae416478f5241c4213fbe8b3f63b3b7,cray-cnl7-haswell
diffutils,3.7,intel@19.1.2.254,,cray-cnl7-haswell
er,0.0.3,intel@19.1.2.254,~ipo build_type=RelWithDebInfo,cray-cnl7-haswell
exmcutils,0.5.7,intel@19.1.2.254,,cray-cnl7-haswell
expat,2.2.9,intel@19.1.2.254,+libbsd,cray-cnl7-haswell
flit,2.1.0,intel@19.1.2.254,,cray-cnl7-haswell
gasnet,2020.3.0,intel@19.1.2.254,~aligned-segments~ibv+mpi+pshm+udp segment-mmap-max=16GB,cray-cnl7-haswell
gdbm,1.18.1,intel@19.1.2.254,,cray-cnl7-haswell
gettext,0.21,intel@19.1.2.254,+bzip2+curses+git~libunistring+libxml2+tar+xz,cray-cnl7-haswell
ginkgo,1.2.0,intel@19.1.2.254,~cuda~develtools~full_optimizations~hip~ipo+openmp+shared build_type=Release cuda_arch=none,cray-cnl7-haswell
globalarrays,5.7,intel@19.1.2.254,+blas~int64+lapack+scalapack armci=mpi-ts,cray-cnl7-haswell
gmake,4.2.1,intel@19.1.2.254,~guile+nls patches=ca60bd9c1a1b35bc0dc58b6a4a19d5c2651f7a94a4b22b2c5ea001a1ca7a8a7f,fe5b60d091c33f169740df8cb718bf4259f84528b42435194ffe0dd5b79cd125,cray-cnl7-haswell
gmp,6.1.2,intel@19.1.2.254,,cray-cnl7-haswell
gnutls,3.6.14,intel@19.1.2.254,~guile+zlib,cray-cnl7-haswell
gotcha,1.0.3,intel@19.1.2.254,~ipo+test build_type=RelWithDebInfo,cray-cnl7-haswell
gslib,1.0.6,intel@19.1.2.254,~blas+mpi+mpiio,cray-cnl7-haswell
hdf5,1.10.6,intel@19.1.2.254,+cxx+debug+fortran+hl~java+mpi+pic+shared+szip+threadsafe api=none,cray-cnl7-haswell
hdf5,1.10.7,intel@19.1.2.254,~cxx~debug~fortran~hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-cnl7-haswell
hdf5,1.10.7,intel@19.1.2.254,~cxx~debug~fortran+hl~java+mpi+pic+shared~szip~threadsafe api=none,cray-cnl7-haswell
hwloc,2.2.0,intel@19.1.2.254,~cairo~cuda~gl~libudev+libxml2~netloc~nvml+pci+shared,cray-cnl7-haswell
hypre,2.18.2,intel@19.1.2.254,~complex~debug~int64~internal-superlu~mixedint+mpi~openmp+shared~superlu-dist,cray-cnl7-haswell
hypre,2.20.0,intel@19.1.2.254,~complex~debug~int64~internal-superlu~mixedint+mpi~openmp+shared~superlu-dist,cray-cnl7-haswell
hypre,2.20.0,intel@19.1.2.254,~complex~debug~int64~internal-superlu+mixedint+mpi~openmp+shared~superlu-dist,cray-cnl7-haswell
intel-mkl,19.1.2.254,intel@19.1.2.254,~ilp64+shared threads=none,cray-cnl7-haswell
kokkos,3.2.00,intel@19.1.2.254,~aggressive_vectorization~compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~explicit_instantiation~hip~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~pic+profiling~profiling_load_print~pthread~qthread+serial+shared~tests~wrapper amd_gpu_arch=none build_type=RelWithDebInfo cuda_arch=none std=11,cray-cnl7-haswell
kokkos,3.2.00,intel@19.1.2.254,~aggressive_vectorization+compiler_warnings~cuda~cuda_lambda~cuda_ldg_intrinsic~cuda_relocatable_device_code~cuda_uvm+debug~debug_bounds_check+debug_dualview_modify_check~deprecated_code+examples~explicit_instantiation~hip~hpx~hpx_async_dispatch+hwloc~ipo+memkind+numactl+openmp+pic+profiling~profiling_load_print~pthread~qthread+serial+shared+tests~wrapper amd_gpu_arch=none build_type=RelWithDebInfo cuda_arch=none std=11,cray-cnl7-haswell
kokkos-kernels,3.2.00,intel@19.1.2.254,~blas~cblas~cublas~cuda~cusparse~ipo~lapack~lapacke+mkl+openmp~serial~superlu build_type=RelWithDebInfo cuda_arch=none execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,cray-cnl7-haswell
kvtree,1.0.2,intel@19.1.2.254,~ipo+mpi build_type=RelWithDebInfo,cray-cnl7-haswell
libbsd,0.10.0,intel@19.1.2.254, patches=71b49f52a01420ab632f23373135853a2565f88725fb77e625a7fbf7ea812eef,cray-cnl7-haswell
libfabric,1.11.0,intel@19.1.2.254,~kdreg fabrics=sockets,tcp,udp,cray-cnl7-haswell
libffi,3.3,intel@19.1.2.254, patches=26f26c6f29a7ce9bf370ad3ab2610f99365b4bdd7b82e7c31df41a3370d685c0,cray-cnl7-haswell
libiconv,1.16,intel@19.1.2.254,,cray-cnl7-haswell
libnrm,0.1.0,intel@19.1.2.254,,cray-cnl7-haswell
libpfm4,4.11.0,intel@19.1.2.254,,cray-cnl7-haswell
libpng,1.6.37,intel@19.1.2.254,,cray-cnl7-haswell
libpthread-stubs,0.4,intel@19.1.2.254,,cray-cnl7-haswell
