$ spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
adios2,2.8.0,gcc@11.2.0,+blosc+bzip2~cuda~dataman~dataspaces+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,cray-sles15-zen3,wlbzh44t5bs2iahj73pq6w2usk76rinu
amrex,22.05,gcc@11.2.0,~amrdata~cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~plotfile_tools~rocm~shared~sundials~tiny_profile build_type=RelWithDebInfo dimensions=3 precision=double,cray-sles15-zen3,ofkinx3wopipjnzqznlyz63qr27bruux
butterflypack,2.1.1,gcc@11.2.0,~ipo+shared build_type=RelWithDebInfo,cray-sles15-zen3,4kznqwpoitpotthvtrdsiywu7o2k2irl
ccache,4.5.1,gcc@11.2.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen3,ybl7xefvggn6hov4dsdxxnztji74tolj
cdo,2.0.5,gcc@11.2.0,~curl~external-grib1+fftw3+hdf5+libxml2~magics+netcdf+openmp+proj+szip+udunits2 grib2=eccodes,cray-sles15-zen3,mifq7z4altfzxetkqyo6egoybj3brhfj
conduit,0.8.3,gcc@11.2.0,~adios+blt_find_mpi~doc~doxygen+fortran+hdf5+hdf5_compat~ipo+mpi+parmetis~python+shared~silo+test~zfp build_type=RelWithDebInfo,cray-sles15-zen3,wazinehl3dtk3hn56bo5r3uvz3f6od5f
dyninst,12.1.0,gcc@11.2.0,~ipo+openmp~stat_dysect~static build_type=RelWithDebInfo,cray-sles15-zen3,imsyy3cmv3qhsxqjkpdkxob7ggqg4db2
fortrilinos,2.0.0,gcc@11.2.0,+hl~ipo+shared build_type=RelWithDebInfo,cray-sles15-zen3,gr4hjrxkavjtzpcxurjjpmv7xaaxfquo
gasnet,2022.3.0,gcc@11.2.0,~cuda~debug~rocm conduits=smp,cray-sles15-zen3,bwmz3brqu4oqcttgs6ibkeztmxyqtxjm
gawk,5.1.1,gcc@11.2.0,~nls,cray-sles15-zen3,44kt3vx5pu3hklajbhtnsee6tw7yolkl
git,2.35.3,gcc@11.2.0,+man+nls+perl+subtree~svn~tcltk,cray-sles15-zen3,ubv32cm4ydpsymqjqkk5uaxlcgryixkt
gmake,4.3,gcc@11.2.0,~guile+nls,cray-sles15-zen3,btwzv5s75er2hlysvkecr3kxpsbllllw
gnuplot,5.4.3,gcc@11.2.0,+X+cairo+gd+libcerf~pbm~qt~wx patches=ad89f23,cray-sles15-zen3,bsmjqymgg7swzu2gdjfwfd4k6xpq55h6
grads,2.2.1,gcc@11.2.0,+geotiff+shapefile,cray-sles15-zen3,lbkrgcsic2o7ldomcknbhy65xxjh2acg
gromacs,2021.5,gcc@11.2.0,~blas~cuda~cycle_subcounters~double+hwloc~ipo~lapack~mdrun_only+mpi~nosuffix~opencl+openmp~plumed~relaxed_double_precision+shared~sycl build_type=RelWithDebInfo,cray-sles15-zen3,oi4vmzo2z7cba7msub4hhqnxuj2q2eoj
gsl,2.7,gcc@11.2.0,~external-cblas,cray-sles15-zen3,fhx3zdzzsac7koioqjzpx2uvg4wg4caw
hdf5,1.10.7,gcc@11.2.0,~cxx+fortran+hl~ipo~java+mpi+shared~szip~threadsafe+tools api=v18 build_type=RelWithDebInfo patches=2a1e311,cray-sles15-zen3,6opvtfcoaxox7oskb7dzisnb32fnk5ne
heffte,2.2.0,gcc@11.2.0,~cuda+fftw~fortran~ipo~magma~mkl~python~rocm+shared build_type=RelWithDebInfo,cray-sles15-zen3,atk3gky5zjx6z36dhj5goj5aeqhqhshn
hpctoolkit,2022.04.15,gcc@11.2.0,~all-static~cray~cuda~debug~level_zero~mpi+papi~rocm+viewer,cray-sles15-zen3,aijvidsd7p2fjmjpewlzsy47jrm6776j
hpx,1.7.1,gcc@11.2.0,~async_cuda~async_mpi~cuda~examples~generic_coroutines~ipo~rocm~tools build_type=RelWithDebInfo cxxstd=17 instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=mpi,cray-sles15-zen3,yqlat2tfv5rxkvotjbbshor7zgjpk2ov
