 ~/ spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
adios2,2.8.3,gcc@11.2.0,+blosc+bzip2+cuda~dataman~dataspaces+fortran~hdf5~ipo~libpressio+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_system=cmake build_type=Release cuda_arch=80,linux-sles15-zen3,ao5nhxfuvpksbn4xqowdmsmdiux5nkru
amrex,22.11,gcc@11.2.0,~amrdata+cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~plotfile_tools~rocm~shared~sundials~sycl~tiny_profile build_system=cmake build_type=RelWithDebInfo cuda_arch=80 dimensions=3 precision=double,linux-sles15-zen3,cmh6tle6alfkgfjdz7mrrljm7u7ptow7
arborx,1.3,gcc@11.2.0,+cuda~ipo+mpi~openmp~rocm+serial~sycl~trilinos build_system=cmake build_type=RelWithDebInfo cuda_arch=80 cxxstd=17,linux-sles15-zen3,t6sxq2bmfdvgdmcqduk2zczupnlraect
autoconf,2.69,gcc@11.2.0, build_system=autotools patches=35c4492,7793209,a49dd5b,linux-sles15-zen3,5jmyymmac3kydj7aj5nu3igqu6ntktzm
automake,1.16.5,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,4acmj34llzi26tujohekzmxkbxchru44
cabana,0.5.0,gcc@11.2.0,~arborx~cajita+cuda~examples~heffte~hypre~ipo+mpi~openmp~openmptarget~performance_testing~pthread~rocm+serial+shared~sycl~testing build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,jaa3myuauhgapzp4jv42c3db7iizdidj
caliper,2.8.0,gcc@11.2.0,+adiak+cuda~fortran+gotcha~ipo+libdw~libpfm+libunwind+mpi+papi~rocm+sampler+shared~sosflow build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,nkjsd63xounbdfvsykolxfgp2p2tc3ld
chai,2022.03.0,gcc@11.2.0,~benchmarks+cuda~enable_pick+examples~ipo~openmp~raja~rocm+shared~tests build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,ip674i7xhewzoct37uxbd3wmgmamhxem
cusz,0.3,gcc@11.2.0,+cuda~ipo build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,fapbl7kp2vegh4a5s45ecc7k5ebrgcfx
flecsi,2.1.0,gcc@11.2.0,~coverage+cuda~debug_backend~disable_metis~doc~doxygen~external_cinch~flecstan~flog~graphviz+hdf5~ipo~kokkos~openmp+shared~tutorial~unit_tests backend=mpi build_system=cmake build_type=RelWithDebInfo caliper_detail=none cuda_arch=80,linux-sles15-zen3,y4n4iwnlepff6u5ad3scuznauyvuihgo
ginkgo,1.4.0,gcc@11.2.0,+cuda~develtools~full_optimizations~hwloc~ipo~oneapi+openmp~rocm+shared build_system=cmake build_type=Release cuda_arch=80 patches=43e571a,linux-sles15-zen3,hsje3i5d6sdj7xawlskqvo3t52jmtvug
git,2.35.3,gcc@11.2.0,+man+nls+perl+subtree~svn~tcltk build_system=autotools,linux-sles15-zen3,5rvgppfkmnpk47j3jjdwhgnpkx246n6x
heffte,2.3.0,gcc@11.2.0,+cuda~fftw~fortran~ipo~magma~mkl~python~rocm+shared build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,paueqpzdxcgj4qtnroohxp6jf75zxiun
hpx,1.8.1,gcc@11.2.0,~async_cuda~async_mpi+cuda~examples~generic_coroutines~ipo~rocm~tools build_system=cmake build_type=RelWithDebInfo cuda_arch=80 cxxstd=17 instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=tcp,linux-sles15-zen3,cwrlxldqxaotrgnnuu6atb52pmnaenag
hypre,2.26.0,gcc@11.2.0,~complex+cuda~debug+fortran~gptune~int64~internal-superlu~mixedint+mpi+openmp~rocm+shared+superlu-dist~umpire~unified-memory build_system=autotools cuda_arch=80,linux-sles15-zen3,vg6ezbk26xndmfmdux3p2q3yf6wtyzix
kokkos-kernels,3.7.00,gcc@11.2.0,~blas~cblas~cublas+cuda~cusparse~ipo~lapack~lapacke~mkl~openmp~pthread~serial+shared~superlu build_system=cmake build_type=RelWithDebInfo cuda_arch=80 execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,linux-sles15-zen3,aenpt2ysx64vcqqsf4prwqamnjozcocm
mfem,4.5.0,gcc@11.2.0,~amgx~conduit+cuda~debug~examples~exceptions~fms~ginkgo~gnutls~gslib~hiop~lapack~libceed~libunwind+metis~miniapps~mpfr+mpi~netcdf~occa~openmp~petsc~pumi~raja~rocm~shared~slepc+static~strumpack~suite-sparse~sundials~superlu-dist~threadsafe~umpire+zlib build_system=generic cuda_arch=80 timer=auto,linux-sles15-zen3,rfs4zxyaqk7ppdc2dlojmmtcj44tvoav
omega-h,9.34.13,gcc@11.2.0,+cuda~examples~ipo+mpi+optimize+shared+symbols~throw+trilinos~warnings+zlib build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,kal7ug2ubmdyq5hx5pytv3bkqm6acghf
petsc,3.18.1,gcc@11.2.0,~X~batch~cgns~complex+cuda~debug+double~exodusii~fftw+fortran~giflib+hdf5~hpddm~hwloc+hypre~int64~jpeg~knl~kokkos~libpng~libyaml~memkind+metis~mkl-pardiso~mmg~moab~mpfr+mpi~mumps+openmp~p4est~parmmg~ptscotch~random123~rocm~saws~scalapack+shared+strumpack~suite-sparse+superlu-dist~tetgen~trilinos~valgrind build_system=generic clanguage=C cuda_arch=80,linux-sles15-zen3,z7ox3vz72usrvsx5hbd3rkhqcgk54i3d
slate,2022.07.00,gcc@11.2.0,+cuda~ipo+mpi+openmp~rocm+shared build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,u3qpmibir2ixxilxdaw7zzi5obw66w6m
slepc,3.18.1,gcc@11.2.0,+arpack~blopex+cuda~rocm build_system=generic cuda_arch=80,linux-sles15-zen3,ain6rsggagyhou5s6lut2jdz2vxvq3ku
strumpack,7.0.1,gcc@11.2.0,~butterflypack+c_interface~count_flops+cuda~ipo+mpi+openmp+parmetis~rocm~scotch+shared~slate~task_timers+zfp build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,egmduilmcpdzoz6pyt24wze3zsh3i6ua
sundials,6.4.1,gcc@11.2.0,+ARKODE+CVODE+CVODES+IDA+IDAS+KINSOL+cuda+examples+examples-install~f2003~fcmix+generic-math~ginkgo~hypre~int64~ipo~klu~kokkos~kokkos-kernels~lapack~magma~monitoring+mpi~openmp~petsc~profiling~pthread~raja~rocm+shared+static~superlu-dist~superlu-mt~sycl~trilinos build_system=cmake build_type=RelWithDebInfo cstd=99 cuda_arch=80 cxxstd=14 logging-level=0 logging-mpi=OFF precision=double,linux-sles15-zen3,w5dffgjny4j6ioryuza6u5pdcb4iopxn
superlu-dist,8.1.1,gcc@11.2.0,+cuda~int64~ipo+openmp~rocm+shared build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,mhyaalu2m4jm4mdcitibxs6jmbjycnn4
tasmanian,7.9,gcc@11.2.0,~blas+cuda~fortran~ipo~magma~mpi~openmp~python~rocm~xsdkflags build_system=cmake build_type=Release cuda_arch=80,linux-sles15-zen3,bvytqohyglwq4e73nmm4bvupsb3ex5e4
vtk-m,1.9.0,gcc@11.2.0,~64bitids+ascent_types+cuda+cuda_native+doubleprecision+examples~fpic~ipo~kokkos~logging~mpi+openmp+rendering~rocm~shared~tbb~testlib~virtuals build_system=cmake build_type=Release cuda_arch=80,linux-sles15-zen3,ymsz6uqhaxjztuyg24lecrnq3ijm3igq
zfp,0.5.5,gcc@11.2.0,~aligned~c+cuda~fasthash~fortran~ipo~openmp~profile~python+shared~strided~twoway bsws=64 build_system=cmake build_type=RelWithDebInfo cuda_arch=80,linux-sles15-zen3,kad4kl6pwuogkxpv5t3jhxkpj6geawsa
