 ~/ spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
adios2,2.8.3,gcc@11.2.0,+blosc+bzip2~cuda~dataman~dataspaces+fortran~hdf5~ipo~libpressio+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_system=cmake build_type=Release,linux-sles15-zen3,iiidb3vrojo4w7f7zczk5onv4gnkfxdw
alquimia,1.0.10,gcc@11.2.0,~ipo+shared build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,lztmfixqqyoeimj5nuvsmxlqjgxbhdrl
aml,0.2.0,gcc@11.2.0,~cuda~hip~hwloc~opencl~ze build_system=autotools hip-platform=none,linux-sles15-zen3,tvevpstkettkcufqoivmcl7zraa5jypp
amrex,22.11,gcc@11.2.0,~amrdata~cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~plotfile_tools~rocm~shared~sundials~sycl~tiny_profile build_system=cmake build_type=RelWithDebInfo dimensions=3 precision=double,linux-sles15-zen3,yotm6qvs76ywjhg5akeelocqtzc6tndq
arborx,1.3,gcc@11.2.0,~cuda~ipo+mpi~openmp~rocm+serial~sycl~trilinos build_system=cmake build_type=RelWithDebInfo cxxstd=17,linux-sles15-zen3,fcakmeorgtyr5hekwbngifls4rzmdoxf
argobots,1.1,gcc@11.2.0,~affinity~debug+perf~stackunwind~tool~valgrind build_system=autotools stackguard=none,linux-sles15-zen3,5zlle2qkucopqngtfvtdxurg6kznl557
autoconf,2.69,gcc@11.2.0, build_system=autotools patches=35c4492,7793209,a49dd5b,linux-sles15-zen3,5jmyymmac3kydj7aj5nu3igqu6ntktzm
automake,1.16.5,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,4acmj34llzi26tujohekzmxkbxchru44
axom,0.7.0,gcc@11.2.0,+cpp14~cuda~devtools+examples+fortran+hdf5~ipo+lua~mfem+mpi+openmp~python+raja~rocm~scr+shared+tools+umpire build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,xrv223rexjbx7p2qfxol5oru5js6rxmp
bolt,2.0,gcc@11.2.0,~ipo build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,346urvdp2ym67ucy6fifjpg47llxifkd
butterflypack,2.2.2,gcc@11.2.0,~ipo+openmp+shared build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,5yxrfmewh4pcvcpctvyoflpnvkdlg4mc
cabana,0.5.0,gcc@11.2.0,~arborx~cajita~cuda~examples~heffte~hypre~ipo+mpi~openmp~openmptarget~performance_testing~pthread~rocm+serial+shared~sycl~testing build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,3usqr6ymwxkd5rnwbm4eyxb77e3dk54y
caliper,2.8.0,gcc@11.2.0,+adiak~cuda~fortran+gotcha~ipo+libdw~libpfm+libunwind+mpi+papi~rocm+sampler+shared~sosflow build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,grndumsxke7frjwoj7solxycenpop6lr
chai,2022.03.0,gcc@11.2.0,~benchmarks~cuda~enable_pick+examples~ipo~openmp~raja~rocm+shared~tests build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,qgvfxu4srscf4hm25qz3l5riywn2iu6a
chapel,1.24.1,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,fxbqho6bdn3dculx24yx3xeqtnk3lruo
datatransferkit,3.1-rc3,gcc@11.2.0,~external-arborx~ipo~openmp+serial+shared build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,yxdr7kga74a5oxu3typqkpsy6ekc6y7a
dyninst,12.2.0,gcc@11.2.0,~ipo+openmp~stat_dysect~static build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,6w3ckjo4iboejer25zeh3rd5o64ykmut
fftw,3.3.8,gcc@11.2.0,+mpi~openmp~pfft_patches build_system=autotools precision=double,float,linux-sles15-zen3,3u7tnd4odl4mt6rwshv4fl37vftcacqa
fftw,3.3.9,gcc@11.2.0,+mpi~openmp~pfft_patches build_system=autotools precision=double,float,linux-sles15-zen3,pw73y5e432su5lgh5dhiqpqcxzpgekm7
flecsi,1.4.2,gcc@11.2.0,~coverage~cuda~debug_backend~disable_metis~doc~doxygen+external_cinch~flecstan~flog~graphviz+hdf5~ipo~kokkos~openmp+shared~tutorial~unit_tests backend=mpi build_system=cmake build_type=RelWithDebInfo caliper_detail=none,linux-sles15-zen3,hr4tlwctqbk4stpi7tjtugk22gdhvry4
flit,2.1.0,gcc@11.2.0, build_system=makefile,linux-sles15-zen3,33ouxjskpw4km75crb3zowmgwljt5m5k
flux-core,0.44.0,gcc@11.2.0,~cuda~docs build_system=autotools,linux-sles15-zen3,ldsu6azndua2vng5rgblobxn3tmymvih
fortrilinos,2.1.0,gcc@11.2.0,+hl~ipo+shared build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,6v4ndhwuaqbuwx7hhaor3cscfi4mqsio
gasnet,2022.9.0,gcc@11.2.0,~cuda~debug~rocm build_system=generic conduits=smp,linux-sles15-zen3,4qbfhkqguzyxunpxdgqfc43uxhvcfnys
gawk,5.1.1,gcc@11.2.0,~nls build_system=autotools,linux-sles15-zen3,irnrtwy5kc34c2d53ku7aeqw7jkjihyr
ginkgo,1.4.0,gcc@11.2.0,~cuda~develtools~full_optimizations~hwloc~ipo~oneapi+openmp~rocm+shared build_system=cmake build_type=Release patches=43e571a,linux-sles15-zen3,zsf4hui3hueqjmkjhbaukrppd2n7hmbe
git,2.35.3,gcc@11.2.0,+man+nls+perl+subtree~svn~tcltk build_system=autotools,linux-sles15-zen3,5rvgppfkmnpk47j3jjdwhgnpkx246n6x
globalarrays,5.8,gcc@11.2.0,~scalapack armci=mpi-ts build_system=autotools,linux-sles15-zen3,bhzptifqqbe3ftjur3yw7qqnuk5omrth
gotcha,1.0.4,gcc@11.2.0,~ipo~test build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,uhmaxr3ppjvdakdgksragncihhq3wihl
gptune,3.0.0,gcc@11.2.0,~hypre~ipo~mpispawn~superlu build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,45363ukeaagg6ooxzk7sz7caag5zal3y
gromacs,2022.3,gcc@11.2.0,~blas~cp2k~cuda~cycle_subcounters~double+hwloc~ipo~lapack~mdrun_only+mpi~nosuffix~opencl+openmp~plumed~relaxed_double_precision+shared~sycl build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,ibzwcibrlxpi76ihny7mofr6dvnoebim
h5bench,1.3,gcc@11.2.0,~all~amrex~async~e3sm~exerciser~ipo~metadata~openpmd build_system=cmake build_type=RelWithDebInfo,linux-sles15-zen3,zvi4g76wh7gnkarkud3ckjc3hb2ojtmt
