spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
amrex,23.08,gcc@11.2.0,~amrdata+cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~plotfile_tools~rocm~shared~sundials~sycl~tiny_profile build_system=cmake build_type=Release cuda_arch=80 dimensions=1,2,3 generator=make precision=double,linux-sles15-zen3,gr6bmzq3uqqnlxrduqfcwfst6igngr2d
arborx,1.4.1,gcc@11.2.0,+cuda~ipo+mpi~openmp~rocm+serial~sycl~trilinos build_system=cmake build_type=Release cuda_arch=80 cxxstd=17 generator=make,linux-sles15-zen3,ic2ssroqzimwcyd7xpdi653mes5xat5d
autoconf,2.69,gcc@11.2.0, build_system=autotools patches=35c4492,7793209,a49dd5b,linux-sles15-zen3,zncgqne54ysytnafsm7swzpk3eqzgi7d
automake,1.16.5,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,xkgnuy4l5se4qw6sms5j3v6y6kwyekyp
caliper,2.10.0,gcc@11.2.0,+adiak+cuda~fortran+gotcha~ipo+kokkos+libdw~libpfm+libunwind+mpi+papi~rocm+sampler+shared~sosflow~variorum build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,waasq4yxw3jp3335chamnxh3kmcvfgsl
flecsi,2.2.1,gcc@11.2.0,+cuda~doc~flog~graphviz+hdf5~ipo~kokkos~openmp~rocm+shared backend=mpi build_system=cmake build_type=Release caliper_detail=none cuda_arch=80 generator=make,linux-sles15-zen3,ybvgbj7vpf75a5bhkrxuzde5e3ymxjyb
ginkgo,1.6.0,gcc@11.2.0,+cuda~develtools~full_optimizations~hwloc~ipo~mpi~oneapi+openmp~rocm+shared build_system=cmake build_type=Release cuda_arch=80 generator=make,linux-sles15-zen3,ath4bctr2k6sxmafbhi5fxdhwfu6k7h5
git,2.35.3,gcc@11.2.0,+man+nls+perl+subtree~svn~tcltk build_system=autotools,linux-sles15-zen3,f4gux4hd2a36r5hs5qa5o2hv2e5tkpmb
heffte,2.3.0,gcc@11.2.0,+cuda~fftw~fortran~ipo~magma~mkl~python~rocm+shared build_system=cmake build_type=Release cuda_arch=80 generator=make patches=6b8b8e8,linux-sles15-zen3,jhlc4oocgls4is4qdqhdzftjcwpgqocy
hpctoolkit,2023.03.01,gcc@11.2.0,~cray+cuda~debug~level_zero~mpi~opencl+papi~python~rocm+viewer build_system=autotools,linux-sles15-zen3,4dzgqh33ssguoxlnrm5rpdomyshksc45
hpx,1.9.1,gcc@11.2.0,~async_cuda~async_mpi+cuda~examples~generic_coroutines~ipo~rocm~tools build_system=cmake build_type=Release cuda_arch=80 cxxstd=17 generator=ninja instrumentation=none malloc=tcmalloc max_cpu_count=64 networking=tcp,linux-sles15-zen3,onetpwtsrqa6pfhf75p5m6liohbzlr7w
hypre,2.29.0,gcc@11.2.0,~caliper~complex~cuda~debug+fortran~gptune~int64~internal-superlu~mixedint+mpi+openmp~rocm+shared+superlu-dist~sycl~umpire~unified-memory build_system=autotools,linux-sles15-zen3,q7454osnxnzyqmwfwlzefsgom7raxgcf
hypre,2.29.0,gcc@11.2.0,~caliper~complex+cuda~debug+fortran~gptune~int64~internal-superlu~mixedint+mpi+openmp~rocm+shared+superlu-dist~sycl~umpire~unified-memory build_system=autotools cuda_arch=80,linux-sles15-zen3,ogcjojzmjia3b7fi5zdv3ixvoyvgm54q
