spack find -x --format "{name},{version},{compiler.name}@{compiler.version},{variants},{arch},{hash}"
adios2,2.9.1,gcc@11.2.0,~aws+blosc+bzip2~cuda~dataspaces+fortran~hdf5~ipo+libcatalyst~libpressio+mgard+mpi~pic+png~python+ssc+sst+sz+zfp build_system=cmake build_type=Release generator=make,linux-sles15-zen3,5pydpd3ucafgi5bgg2r76z4gpcl4are6
alquimia,1.0.10,gcc@11.2.0,~ipo+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,6wcpie6shxjmihngbjk2fkphayeqlx37
amrex,23.08,gcc@11.2.0,~amrdata~cuda~eb~fortran~hdf5~hypre~ipo+linear_solvers+mpi~openmp~particles~petsc~pic~plotfile_tools~rocm~shared~sundials~sycl~tiny_profile build_system=cmake build_type=Release dimensions=1,2,3 generator=make precision=double,linux-sles15-zen3,7szy5ktxtybbv5ng5hln3ekwmsgh4woy
arborx,1.4.1,gcc@11.2.0,~cuda~ipo+mpi~openmp~rocm+serial~sycl~trilinos build_system=cmake build_type=Release cxxstd=17 generator=make,linux-sles15-zen3,5bci7j26c7rgzswikzuaajcsdwuttxam
argobots,1.1,gcc@11.2.0,~affinity~debug+perf~stackunwind~tool~valgrind build_system=autotools stackguard=none,linux-sles15-zen3,4aznrpq54p6uxwr7m52xdlb2gggciixg
autoconf,2.69,gcc@11.2.0, build_system=autotools patches=35c4492,7793209,a49dd5b,linux-sles15-zen3,zncgqne54ysytnafsm7swzpk3eqzgi7d
automake,1.16.5,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,xkgnuy4l5se4qw6sms5j3v6y6kwyekyp
bolt,2.0,gcc@11.2.0,~ipo build_system=cmake build_type=Release generator=make,linux-sles15-zen3,ebzwd26lkxy6cjkh5vz54azlwp5gnzt5
boost,1.83.0,gcc@11.2.0,~atomic~chrono~clanglibcpp~container~context~contract~coroutine~date_time~debug~exception~fiber~filesystem~graph~graph_parallel~icu~iostreams~json~locale~log~math~mpi+multithreaded~nowide~numpy~pic~program_options~python~random~regex~serialization+shared~signals~singlethreaded~stacktrace~system~taggedlayout~test~thread~timer~type_erasure~versionedlayout~wave build_system=generic cxxstd=98 patches=a440f96 visibility=hidden,linux-sles15-zen3,x343seee6kz6ojszrx5xomjtjyjsfyw3
butterflypack,2.2.2,gcc@11.2.0,~ipo+openmp+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,qlxtcnei3vvgfw3cnwzzldqapttyqrzq
cabana,0.5.0,gcc@11.2.0,~arborx~cajita~cuda~examples~heffte~hypre~ipo+mpi~openmp~openmptarget~performance_testing~rocm+serial+shared~silo~sycl~testing~threads build_system=cmake build_type=Release generator=make,linux-sles15-zen3,gyojfivdhqz7wunnbggsw6raigbsytuq
caliper,2.10.0,gcc@11.2.0,+adiak~cuda~fortran+gotcha~ipo+kokkos+libdw~libpfm+libunwind+mpi+papi~rocm+sampler+shared~sosflow~variorum build_system=cmake build_type=Release generator=make,linux-sles15-zen3,ojg7r42umudh3gz2m3jlyd45ftli7oep
ccache,4.8.2,gcc@11.2.0,~ipo+redis build_system=cmake build_type=Release generator=make,linux-sles15-zen3,cvooxdw5wgvv2g3vjxjkrpv6dopginv6
cdo,2.2.0,gcc@11.2.0,~curl~external-grib1+fftw3+hdf5+libxml2~magics+netcdf+openmp+proj+szip+udunits2 build_system=autotools grib2=eccodes,linux-sles15-zen3,wcw4cxpwh4ml5hj7cl423olkxftx5i5o
chai,2022.03.0,gcc@11.2.0,~benchmarks~cuda~enable_pick+examples~ipo~openmp~raja~rocm+shared~tests build_system=cmake build_type=Release generator=make,linux-sles15-zen3,5whwffrmid4qqtzpywdyzms5upshz63h
chapel,1.24.1,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,2peahbz3wjw546mekzoroh3uk7djvngv
datatransferkit,3.1-rc3,gcc@11.2.0,~external-arborx~ipo~openmp+serial+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,ckdzpbyshu2h5iavwfnz67ssuy45fv6w
dyninst,12.3.0,gcc@11.2.0,~ipo+openmp~stat_dysect~static build_system=cmake build_type=Release generator=make,linux-sles15-zen3,wsirhlm5gka7wyvfgyuuaqkcgpoweizg
flecsi,2.2.1,gcc@11.2.0,~cuda~doc~flog~graphviz+hdf5~ipo~kokkos~openmp~rocm+shared backend=mpi build_system=cmake build_type=Release caliper_detail=none generator=make,linux-sles15-zen3,3qenuf7lmzrf3vp3qt2cyzy676gkl3xy
flit,2.1.0,gcc@11.2.0, build_system=makefile,linux-sles15-zen3,usdbvitan6rish6pa2zwdwrq3cihcu4i
fortrilinos,2.3.0,gcc@11.2.0,+hl~ipo+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,mzoav5egbe3shdqmxyacwi4fl66nt6ab
gasnet,2023.3.0,gcc@11.2.0,~cuda~debug~rocm build_system=generic conduits=smp,linux-sles15-zen3,bpuylggxq74eeewuie32wh56no2b7gnd
gawk,5.2.1,gcc@11.2.0,~nls build_system=autotools,linux-sles15-zen3,p5filefqaxqzvttorrtd7d2ex2wmr46a
ginkgo,1.6.0,gcc@11.2.0,~cuda~develtools~full_optimizations~hwloc~ipo~mpi~oneapi+openmp~rocm+shared build_system=cmake build_type=Release generator=make,linux-sles15-zen3,yoe3her7vopast6ovbqshkdtbok4ufwc
git,2.35.3,gcc@11.2.0,+man+nls+perl+subtree~svn~tcltk build_system=autotools,linux-sles15-zen3,f4gux4hd2a36r5hs5qa5o2hv2e5tkpmb
gotcha,1.0.4,gcc@11.2.0,~ipo~test build_system=cmake build_type=Release generator=make,linux-sles15-zen3,h72434rschyrjnzm6p2rhobazcmel2g6
gromacs,2023.1,gcc@11.2.0,~blas~cp2k~cuda~cycle_subcounters~double+hwloc~intel_provided_gcc~ipo~lapack~mdrun_only+mpi~nosuffix~opencl+openmp~plumed~relaxed_double_precision+shared~sycl build_system=cmake build_type=Release generator=make openmp_max_threads=none,linux-sles15-zen3,2ashti7n2se2nhdun3vpd2bm4zwmg3rd
h5bench,1.4,gcc@11.2.0,~all~amrex~async~e3sm~exerciser~ipo~metadata~openpmd build_system=cmake build_type=Release generator=make,linux-sles15-zen3,szrojorv7wrppq5ihevrhl4gyl2xn3d2
hdf5-vol-async,1.7,gcc@11.2.0,~ipo~memcpy build_system=cmake build_type=Release generator=make,linux-sles15-zen3,ooc6h3nialb33q7kv5fz2smnyqqsydsc
hdf5-vol-cache,v1.1,gcc@11.2.0,~ipo build_system=cmake build_type=Release generator=make,linux-sles15-zen3,orlulydrc7sjuhkizvjucesmzrgz4zhf
heffte,2.3.0,gcc@11.2.0,~cuda+fftw~fortran~ipo~magma~mkl~python~rocm+shared build_system=cmake build_type=Release generator=make patches=6b8b8e8,linux-sles15-zen3,4fbulqu64wrsldpg3rrhxlmkh4iglchk
hpctoolkit,2023.03.01,gcc@11.2.0,~cray~cuda~debug~level_zero~mpi~opencl+papi~python~rocm+viewer build_system=autotools,linux-sles15-zen3,3bq7gh3ibuaesocnzgjubs3unkebbiyk
hpx,1.9.1,gcc@11.2.0,~async_cuda~async_mpi~cuda~examples~generic_coroutines~ipo~rocm~tools build_system=cmake build_type=Release cxxstd=17 generator=ninja instrumentation=none malloc=tcmalloc max_cpu_count=512 networking=mpi,linux-sles15-zen3,pctxeyedhawudegpkabc4s7unmp2ktfi
hypre,2.29.0,gcc@11.2.0,~caliper~complex~cuda~debug+fortran~gptune~int64~internal-superlu~mixedint+mpi+openmp~rocm+shared+superlu-dist~sycl~umpire~unified-memory build_system=autotools,linux-sles15-zen3,q7454osnxnzyqmwfwlzefsgom7raxgcf
intel-mkl,2020.4.304,gcc@11.2.0,~ilp64+shared build_system=generic threads=none,linux-sles15-zen3,kysgel4pkjbzuu65hxtzpwc7eceyb5oo
kokkos,4.1.00,gcc@11.2.0,~aggressive_vectorization~compiler_warnings~cuda~debug~debug_bounds_check~debug_dualview_modify_check~deprecated_code~examples~hpx~hpx_async_dispatch~hwloc~ipo~memkind~numactl+openmp~openmptarget~pic~rocm+serial+shared~sycl~tests~threads~tuning~wrapper build_system=cmake build_type=Release cxxstd=17 generator=make intel_gpu_arch=none,linux-sles15-zen3,mh6k3rx5clzjvxppincsju6plrewymvj
kokkos-kernels,4.0.00,gcc@11.2.0,~blas~cblas~cublas~cuda~cusparse~ipo~lapack~lapacke~mkl+openmp~serial+shared~superlu~threads build_system=cmake build_type=Release execspace_cuda=auto execspace_openmp=auto execspace_serial=auto execspace_threads=auto generator=make layouts=left memspace_cudaspace=auto memspace_cudauvmspace=auto offsets=int,size_t ordinals=int scalars=double,linux-sles15-zen3,oyn5t5rn6jwbj2eipfc3v5hlwkcsbrha
lammps,20230802,gcc@11.2.0,~adios~amoeba~asphere~atc~awpmd~bocs~body~bpm~brownian~cg-dna~cg-spica~class2~colloid~colvars~compress~coreshell~cuda~cuda_mps~dielectric~diffraction~dipole~dpd-basic~dpd-meso~dpd-react~dpd-smooth~drude~eff~electrode~exceptions~extra-compute~extra-dump~extra-fix~extra-molecule~extra-pair~fep~ffmpeg~granular~h5md~intel~interlayer~ipo~jpeg~kim~kokkos+kspace~latboltz~lepton+lib~machdyn~manifold+manybody~mc~meam~mesont~mgpt~misc~ml-hdnnp~ml-iap~ml-pod~ml-rann~ml-snap~mofff+molecule~molfile+mpi~mpiio~netcdf~opencl+openmp~openmp-package~opt~orient~peri~phonon~plugin~plumed~png~poems~ptm~python~qeq~qtb~reaction~reaxff~replica+rigid~rocm~shock~smtbq~sph~spin~srd~tally~uef~voronoi~vtk~yaff build_system=cmake build_type=Release fftw_precision=double generator=make gpu_precision=mixed lammps_sizes=smallbig,linux-sles15-zen3,fuibgvmjnsfnjp3j36c6tb4jz6ouaibp
legion,23.06.0,gcc@11.2.0,~bindings~bounds_checks~cuda~cuda_hijack~cuda_unsupported_compiler~fortran~hdf5~hwloc~ipo~kokkos+libdl~openmp~papi~privilege_checks~python~redop_complex~rocm~shared~spy+zlib build_system=cmake build_type=Release cuda_arch=70 cxxstd=11 generator=make max_dims=3 max_fields=512 max_num_nodes=1024 network=none output_level=warning,linux-sles15-zen3,3tadlbb67w6n4xsp3y27wmybuwqkwqss
libcint,5.3.0,gcc@11.2.0,+coulomb_erf+f12~ipo~pypzpx+shared~test build_system=cmake build_type=Release generator=make,linux-sles15-zen3,tlzql4gtmog2pj5kpitiy5cuhg2hdosf
libint,2.6.0,gcc@11.2.0,~debug~fma~fortran build_system=autotools tune=molgw-lmax-7,linux-sles15-zen3,y3arrygpmrfmfu6bguoc4ufvowxeqvoq
libnrm,0.1.0,gcc@11.2.0, build_system=autotools,linux-sles15-zen3,czuyt2gho7tgml4s5do2uineav6eo4db
