# spack find --format "{name},{version},{compiler},{variants},{arch}"
adiak,0.2.1,gcc@10.2.0,~ipo+mpi+shared build_type=RelWithDebInfo,cray-sles15-zen2
adiak,0.2.1,gcc@10.3.0,~ipo+mpi+shared build_type=RelWithDebInfo,cray-sles15-zen2
adios2,2.7.1,cce@12.0.0,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,cray-sles15-zen2
adios2,2.7.1,cce@12.0.1,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,cray-sles15-zen2
adios2,2.7.1,gcc@10.2.0,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,cray-sles15-zen2
adios2,2.7.1,gcc@10.3.0,+blosc+bzip2~dataman~dataspaces~endian_reverse+fortran~hdf5~ipo+mpi+pic+png~python+shared+ssc+sst+sz+zfp build_type=Release,cray-sles15-zen2
adlbx,1.0.0,cce@12.0.0,,cray-sles15-zen2
adlbx,1.0.0,cce@12.0.1,,cray-sles15-zen2
adlbx,1.0.0,gcc@10.2.0,,cray-sles15-zen2
adlbx,1.0.0,gcc@10.3.0,,cray-sles15-zen2
aml,0.1.0,cce@12.0.0,,cray-sles15-zen2
aml,0.1.0,cce@12.0.1,,cray-sles15-zen2
aml,0.1.0,gcc@10.2.0,,cray-sles15-zen2
aml,0.1.0,gcc@10.3.0,,cray-sles15-zen2
ant,1.10.7,cce@12.0.0,,cray-sles15-zen2
ant,1.10.7,cce@12.0.1,,cray-sles15-zen2
ant,1.10.7,gcc@10.2.0,,cray-sles15-zen2
ant,1.10.7,gcc@10.3.0,,cray-sles15-zen2
apr,1.7.0,gcc@7.5.0, patches=a4128488c546646b4a585c3d49706675b1c016139dd61bdd153fb3151bbcb12c,linux-sles15-x86_64
apr-util,1.6.1,gcc@7.5.0,+crypto~gdbm~odbc~pgsql~sqlite,linux-sles15-x86_64
arborx,1.0,cce@12.0.0,~cuda~ipo+mpi~openmp~rocm+serial~trilinos build_type=RelWithDebInfo,cray-sles15-zen2
arborx,1.0,cce@12.0.1,~cuda~ipo+mpi~openmp~rocm+serial~trilinos build_type=RelWithDebInfo,cray-sles15-zen2
arborx,1.0,gcc@10.2.0,~cuda~ipo+mpi~openmp~rocm+serial~trilinos build_type=RelWithDebInfo,cray-sles15-zen2
arborx,1.0,gcc@10.3.0,~cuda~ipo+mpi~openmp~rocm+serial~trilinos build_type=RelWithDebInfo,cray-sles15-zen2
argobots,1.1,cce@12.0.0,~affinity~debug+perf~stackunwind~tool~valgrind stackguard=none,cray-sles15-zen2
argobots,1.1,cce@12.0.1,~affinity~debug+perf~stackunwind~tool~valgrind stackguard=none,cray-sles15-zen2
argobots,1.1,gcc@10.2.0,~affinity~debug+perf~stackunwind~tool~valgrind stackguard=none,cray-sles15-zen2
argobots,1.1,gcc@10.3.0,~affinity~debug+perf~stackunwind~tool~valgrind stackguard=none,cray-sles15-zen2
arpack-ng,3.8.0,gcc@10.2.0,+mpi+shared,cray-sles15-zen2
arpack-ng,3.8.0,gcc@10.3.0,+mpi+shared,cray-sles15-zen2
at-spi2-atk,2.38.0,gcc@7.5.0,~strip buildtype=debugoptimized default_library=shared,linux-sles15-x86_64
at-spi2-core,2.40.1,gcc@7.5.0,~strip buildtype=debugoptimized default_library=shared,linux-sles15-x86_64
atk,2.36.0,gcc@7.5.0,,linux-sles15-x86_64
autoconf,2.69,cce@12.0.0,,cray-sles15-zen2
autoconf,2.69,cce@12.0.1,,cray-sles15-zen2
autoconf,2.69,gcc@7.5.0,,linux-sles15-x86_64
autoconf,2.69,gcc@10.2.0,,cray-sles15-zen2
autoconf,2.69,gcc@10.3.0,,cray-sles15-zen2
autoconf-archive,2019.01.06,cce@12.0.0,,cray-sles15-zen2
autoconf-archive,2019.01.06,cce@12.0.1,,cray-sles15-zen2
autoconf-archive,2019.01.06,gcc@7.5.0,,linux-sles15-x86_64
autoconf-archive,2019.01.06,gcc@10.2.0,,cray-sles15-zen2
autoconf-archive,2019.01.06,gcc@10.3.0,,cray-sles15-zen2
automake,1.16.3,cce@12.0.0,,cray-sles15-zen2
automake,1.16.3,cce@12.0.1,,cray-sles15-zen2
automake,1.16.3,gcc@7.5.0,,linux-sles15-x86_64
automake,1.16.3,gcc@10.2.0,,cray-sles15-zen2
automake,1.16.3,gcc@10.3.0,,cray-sles15-zen2
bdftopcf,1.0.5,gcc@7.5.0,,linux-sles15-x86_64
berkeley-db,18.1.40,cce@12.0.0,+cxx~docs+stl patches=b231fcc4d5cff05e5c3a4814f6a5af0e9a966428dc2176540d2c05aff41de522,cray-sles15-zen2
berkeley-db,18.1.40,cce@12.0.1,+cxx~docs+stl patches=b231fcc4d5cff05e5c3a4814f6a5af0e9a966428dc2176540d2c05aff41de522,cray-sles15-zen2
berkeley-db,18.1.40,gcc@7.5.0,+cxx~docs+stl patches=b231fcc4d5cff05e5c3a4814f6a5af0e9a966428dc2176540d2c05aff41de522,linux-sles15-x86_64
berkeley-db,18.1.40,gcc@10.2.0,+cxx~docs+stl patches=b231fcc4d5cff05e5c3a4814f6a5af0e9a966428dc2176540d2c05aff41de522,cray-sles15-zen2
berkeley-db,18.1.40,gcc@10.3.0,+cxx~docs+stl patches=b231fcc4d5cff05e5c3a4814f6a5af0e9a966428dc2176540d2c05aff41de522,cray-sles15-zen2
binutils,2.36.1,gcc@10.2.0,~gas~gold~headers~interwork~ld+libiberty~lto+nls+plugins libs=shared,static,cray-sles15-zen2
binutils,2.36.1,gcc@10.3.0,~gas~gold~headers~interwork~ld+libiberty~lto+nls+plugins libs=shared,static,cray-sles15-zen2
binutils,2.36.1,gcc@7.5.0,~gas+gold~headers~interwork+ld+libiberty~lto+nls+plugins libs=shared,static,linux-sles15-x86_64
bison,3.7.6,cce@12.0.0,,cray-sles15-zen2
bison,3.7.6,cce@12.0.1,,cray-sles15-zen2
bison,3.7.6,gcc@7.5.0,,linux-sles15-x86_64
bison,3.7.6,gcc@10.2.0,,cray-sles15-zen2
bison,3.7.6,gcc@10.3.0,,cray-sles15-zen2
blaspp,2021.04.01,gcc@10.2.0,~cuda~ipo+openmp+rocm+shared amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
blaspp,2021.04.01,gcc@10.3.0,~cuda~ipo+openmp+rocm+shared amdgpu_target=gfx908 build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
blt,0.3.6,cce@12.0.0,,cray-sles15-zen2
blt,0.3.6,cce@12.0.1,,cray-sles15-zen2
blt,0.3.6,gcc@10.2.0,,cray-sles15-zen2
blt,0.3.6,gcc@10.3.0,,cray-sles15-zen2
bolt,2.0,cce@12.0.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
bolt,2.0,cce@12.0.1,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
bolt,2.0,gcc@10.2.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
bolt,2.0,gcc@10.3.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
boost,1.76.0,cce@12.0.0,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=17 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-sles15-zen2
boost,1.76.0,cce@12.0.1,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=17 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-sles15-zen2
boost,1.76.0,gcc@10.2.0,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=17 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-sles15-zen2
boost,1.76.0,gcc@10.3.0,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=17 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-sles15-zen2
boost,1.76.0,gcc@10.2.0,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=98 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=global,cray-sles15-zen2
boost,1.76.0,gcc@10.3.0,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=98 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=global,cray-sles15-zen2
boost,1.76.0,cce@12.0.0,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=98 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-sles15-zen2
boost,1.76.0,cce@12.0.1,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=98 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-sles15-zen2
boost,1.76.0,gcc@10.2.0,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=98 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-sles15-zen2
boost,1.76.0,gcc@10.3.0,+atomic+chrono~clanglibcpp~container~context~coroutine+date_time~debug+exception~fiber+filesystem+graph~icu+iostreams+locale+log+math~mpi+multithreaded~numpy~pic+program_options~python+random+regex+serialization+shared+signals~singlethreaded+system~taggedlayout+test+thread+timer~versionedlayout+wave cxxstd=98 patches=57a8401dee8f52b0342e0c8147a5b2db834e8d8f3fbcbbc5950016bd3e9e1ef0 visibility=hidden,cray-sles15-zen2
